symbol,gene_id,treatment_splicing_P,treatment_over_time_splicing_P
Ehbp1,FBgn0034180,0.274582295,3.0338E-05
Mhc,FBgn0264695,0.917273424,3.31603E-05
DNApol-alpha180,FBgn0259113,0.449529805,3.76277E-05
Hmx,FBgn0264005,0.354881388,4.09515E-05
CG6583,FBgn0032420,0.42923693,4.13729E-05
COX7A,FBgn0040529,0.004710366,4.58602E-05
Hr38,FBgn0014859,0.83676567,4.80247E-05
jagn,FBgn0037374,0.266918813,5.25996E-05
SmD1,FBgn0261933,0.000339446,5.32959E-05
RpLP0-like,FBgn0033485,0.185557553,5.33112E-05
Argk,FBgn0000116,0.128962819,5.47628E-05
Gale,FBgn0035147,0.655875794,5.50024E-05
Root,FBgn0039152,0.576478738,5.58031E-05
Desat1,FBgn0086687,0.994905279,6.10742E-05
CR44299,FBgn0265345,0.712906413,6.32801E-05
CG42523,FBgn0260428,0.273421849,6.63275E-05
CG34417,FBgn0085446,0.704458556,6.87022E-05
AcCoAS,FBgn0012034,2.67E-07,7.12958E-05
Apoltp,FBgn0032136,0.267195258,7.62422E-05
CG7407,FBgn0037134,0.002435683,8.28567E-05
boi,FBgn0040388,0.962189125,8.72462E-05
CG16898,FBgn0034480,0.941597645,8.80407E-05
Prx6005,FBgn0031479,0.310788453,8.8367E-05
boss,FBgn0000206,0.890896641,9.40907E-05
CG6983,FBgn0035896,0.694910623,9.4202E-05
Tep4,FBgn0041180,0.998056084,9.45773E-05
CG12071,FBgn0039808,0.510959843,9.68311E-05
elg1,FBgn0036574,0.543321111,0.000101419
Cyp4d8,FBgn0015033,0.092433731,0.000103956
RpII18,FBgn0003275,0.045855365,0.000108557
sif,FBgn0085447,0.17913088,0.000109496
beat-IIIc,FBgn0032629,0.585820038,0.000110029
MESR4,FBgn0034240,0.883650848,0.000110374
tral,FBgn0041775,0.925592333,0.000110771
CG3587,FBgn0023521,0.577004404,0.000113066
RfC4,FBgn0260985,0.98272084,0.000113249
Teh2,FBgn0035505,0.774839353,0.000113444
CG2010,FBgn0039667,0.673373668,0.000113582
hts,FBgn0263391,0.948358067,0.000115697
insv,FBgn0031434,0.102023759,0.00011954
CG5196,FBgn0038039,0.242312432,0.000126365
CG11665,FBgn0033028,0.208551888,0.000128464
Sema5c,FBgn0284221,0.376172913,0.000138825
MED7,FBgn0051390,0.301381668,0.000144386
lola,FBgn0283521,0.796457435,0.000146872
IntS2,FBgn0030858,0.356888677,0.00016499
CG10863,FBgn0027552,0.23908488,0.000171262
homer,FBgn0025777,0.681295567,0.000171778
CG5823,FBgn0038515,0.953205724,0.000173384
Tsp42Eg,FBgn0033128,0.010858378,0.00017561
CG44004,FBgn0264746,0.031196394,0.000187979
CG5758,FBgn0032666,0.919329566,0.00019453
26-29-p,FBgn0250848,0.961133723,0.000195396
CPT2,FBgn0035383,0.116113462,0.00019622
Vha68-2,FBgn0263598,0.052321519,0.000198405
ALiX,FBgn0086346,0.001214281,0.000199782
dos,FBgn0016794,0.733717001,0.000208192
Dlg5,FBgn0032363,0.992129991,0.000213835
DNApol-epsilon255,FBgn0264326,0.111648298,0.000216338
Tsp42Ed,FBgn0029507,0.305240363,0.000218996
dgt3,FBgn0034569,0.014842887,0.000230796
neo,FBgn0039704,0.018467853,0.000232721
CG3999,FBgn0037801,0.860603781,0.000233286
CG7694,FBgn0038627,0.079964335,0.00024562
Zip99C,FBgn0039714,0.305992044,0.000267553
Cyp313a4,FBgn0038076,0.567888611,0.00027779
CG5890,FBgn0039380,0.352685198,0.000279717
eIF4EHP,FBgn0053100,0.594251541,0.000309419
Bdp1,FBgn0032512,0.857832759,0.000330147
blw,FBgn0011211,0.826099471,0.000335406
CG7806,FBgn0032018,0.820502859,0.000343684
Asator,FBgn0039908,0.95253102,0.000345132
CG12746,FBgn0037341,0.468280443,0.00035126
CR45170,FBgn0266680,0.326234029,0.000366398
AP-1gamma,FBgn0030089,0.16161714,0.000370113
Arpc1,FBgn0001961,0.006814531,0.000381642
Pex3,FBgn0036484,0.980080827,0.000383157
lds,FBgn0002542,0.713938887,0.000383871
5-HT2A,FBgn0087012,0.842533377,0.000387632
CG15701,FBgn0034095,0.005729898,0.000394224
CG34054,FBgn0054054,0.045453459,0.000398744
Xe7,FBgn0010772,0.00364711,0.000401387
CG9922,FBgn0038196,4.80798E-05,0.000402576
Ric,FBgn0265605,0.133548223,0.000413098
CG12994,FBgn0040877,0.098629051,0.000435476
CG31522,FBgn0051522,0.912535773,0.000443897
Cpr73D,FBgn0036680,0.849862033,0.000444783
VhaM9.7-b,FBgn0028663,0.112249649,0.000447647
Nup214,FBgn0010660,0.119564585,0.000449675
CG3566,FBgn0029854,0.695900287,0.000460493
Zasp52,FBgn0265991,0.852052963,0.000464302
fru,FBgn0004652,0.974061096,0.000492488
CR43199,FBgn0262828,0.808074939,0.000498212
h,FBgn0001168,0.418534157,0.000515027
Upf1,FBgn0030354,0.082966889,0.000544236
Oct-TyrR,FBgn0004514,0.076444837,0.000545928
CG3430,FBgn0031875,0.339026464,0.000574321
Ctr1A,FBgn0062413,0.988627373,0.000607612
CG40191,FBgn0058191,0.000777942,0.000616871
Aatf,FBgn0031851,0.03084319,0.000625982
grk,FBgn0001137,0.814672811,0.000628357
CG13409,FBgn0038926,0.807487541,0.000631557
CG13539,FBgn0034833,0.043292827,0.000637447
ND-B14,FBgn0033570,0.004348686,0.000640742
CG34454,FBgn0085483,0.000261803,0.000641098
CG32191,FBgn0052191,0.384975939,0.000655931
rad50,FBgn0034728,0.232595597,0.000669882
eIF3l,FBgn0036258,0.836236644,0.000681612
CG10237,FBgn0032783,0.882996473,0.000688938
wrd,FBgn0042693,0.964127792,0.000697033
Hmt-1,FBgn0038376,0.082165261,0.000702938
Arf79F,FBgn0010348,0.773551862,0.000730589
CG14086,FBgn0036860,0.730126278,0.000734889
Myo61F,FBgn0010246,0.686566789,0.000742608
sqa,FBgn0259678,0.865598004,0.000754983
CG3061,FBgn0038195,0.169935912,0.000760681
Syx13,FBgn0036341,0.421107778,0.000761798
CG8768,FBgn0033769,0.766001708,0.00076292
CG9119,FBgn0035189,0.427538921,0.000770689
alpha-Man-Ia,FBgn0259170,0.976569579,0.000773981
CG7530,FBgn0038256,0.745351365,0.000776437
CG9143,FBgn0034496,0.426913701,0.000782749
CG4747,FBgn0043456,0.439689499,0.000783449
NimB3,FBgn0054003,0.969706685,0.000824965
eIF4A,FBgn0001942,0.59733891,0.000854513
Dic1,FBgn0027610,0.002567015,0.000871864
CG9509,FBgn0030594,0.507079022,0.000876858
CG3119,FBgn0031466,0.970610237,0.000881587
flw,FBgn0000711,0.891142066,0.000899734
Rip11,FBgn0027335,0.179360094,0.000903795
Nop56,FBgn0038964,0.958029692,0.00091266
CG4293,FBgn0024983,0.039535499,0.000946568
Glycogenin,FBgn0265191,0.974269279,0.000954203
CG6836,FBgn0036834,0.916237341,0.000976903
Indy,FBgn0036816,0.969225438,0.000987178
CG14777,FBgn0026872,0.652420398,0.000991126
CG5805,FBgn0039223,0.816300375,0.001023112
Atpalpha,FBgn0002921,0.908376184,0.001034555
CG7718,FBgn0038649,0.578530093,0.001071563
CG8726,FBgn0033244,0.673875587,0.001107215
CG12299,FBgn0032295,0.167399417,0.001111178
Rap2l,FBgn0283666,0.007668604,0.001120981
CG42671,FBgn0261553,0.933082735,0.001136968
flfl,FBgn0024555,0.116283034,0.00114269
nrv2,FBgn0015777,0.261231805,0.001146039
Srp14,FBgn0038808,0.439608885,0.001154124
Atox1,FBgn0052446,0.041398977,0.001159476
E2f1,FBgn0011766,0.000397181,0.001169491
Scgalpha,FBgn0032013,0.993656955,0.001187177
bip1,FBgn0026263,0.02568146,0.001191185
bbg,FBgn0087007,0.941069668,0.001201033
CG3149,FBgn0027564,0.533547323,0.00120638
Gpdh,FBgn0001128,0.400300817,0.001208383
MED1,FBgn0037109,0.038641805,0.001227672
c11.1,FBgn0040236,0.2304401,0.00125979
sano,FBgn0034408,0.003596001,0.001281117
sba,FBgn0016754,0.883611076,0.001283932
daw,FBgn0031461,0.361684665,0.001299607
inaD,FBgn0001263,0.845761031,0.001306202
CG9766,FBgn0037229,0.037339325,0.00130737
CG13585,FBgn0035020,0.233595343,0.001340467
ATPsynC,FBgn0039830,0.55620483,0.001360252
CG15628,FBgn0031632,0.007736038,0.001394446
CG30286,FBgn0050286,0.352106526,0.001403252
Rbp9,FBgn0010263,0.044709165,0.001409638
l(2)05714,FBgn0010607,0.551070647,0.001423102
disco,FBgn0000459,0.324133759,0.00142382
nuf,FBgn0013718,0.978935778,0.001437865
Idgf5,FBgn0064237,0.229075515,0.001441157
SERCA,FBgn0263006,0.010283182,0.001454979
CR42765,FBgn0261833,0.22912461,0.00145702
CG3376,FBgn0034997,0.84251109,0.001502256
Cpr76Bc,FBgn0036880,0.101424308,0.001504783
CG31908,FBgn0051908,0.927418799,0.001514975
nemy,FBgn0261673,0.025104396,0.001529453
rg,FBgn0266098,0.769124845,0.001531196
CG32772,FBgn0052772,0.442988116,0.001550586
Jarid2,FBgn0036004,6.8369E-05,0.001569104
CG31342,FBgn0051342,0.810275975,0.001571844
H,FBgn0001169,0.550925717,0.001575817
lok,FBgn0019686,0.797678878,0.001625303
px,FBgn0003175,0.260437602,0.001627256
eIF3a,FBgn0037249,0.988342293,0.001642601
CG10208,FBgn0039118,0.231330925,0.001646773
CG11211,FBgn0033067,0.403698668,0.001649726
dia,FBgn0011202,0.369910143,0.001688757
mRpS28,FBgn0034361,0.860385279,0.001718853
DnaJ-H,FBgn0032474,0.123612222,0.001719014
ea,FBgn0000533,0.18384033,0.001743645
CG9123,FBgn0030629,0.745290239,0.001750879
CG4669,FBgn0035598,0.000144602,0.001779261
TyrRS,FBgn0027080,1,0.00179375
CG8475,FBgn0031995,0.889288768,0.001798327
CG4300,FBgn0036272,0.979931706,0.001837898
Orco,FBgn0037324,0.785382698,0.001838486
Mob4,FBgn0259483,0.440139053,0.001936206
PsGEF,FBgn0264598,0.714057958,0.001943281
CR44331,FBgn0265419,0.605691537,0.001995225
CG14439,FBgn0029898,0.211267171,0.001996911
CdGAPr,FBgn0032821,0.811433302,0.001996934
stai,FBgn0266521,0.867128592,0.001997516
CG1968,FBgn0033401,0.145160894,0.002025736
Plzf,FBgn0032401,0.179891113,0.00204092
CG34133,FBgn0083969,0.880432348,0.002058344
RpS18,FBgn0010411,0.99326176,0.002061312
nop5,FBgn0026196,0.723276783,0.002081373
uri,FBgn0035025,0.09877583,0.002108799
bw,FBgn0000241,0.306658649,0.002128341
CG2201,FBgn0032955,0.923717646,0.002194844
CG1622,FBgn0030468,0.118645052,0.002212987
dpr15,FBgn0037993,0.613045456,0.002216435
CG42747,FBgn0261801,0.824173897,0.002227278
RpS11,FBgn0033699,0.964942618,0.002262993
CG14694,FBgn0037845,0.982924438,0.002267605
CG16892,FBgn0030122,0.100940737,0.002269757
CG43155,FBgn0262685,0.929194738,0.002291112
CG14321,FBgn0038540,0.640583172,0.002292299
EloC,FBgn0266711,0.232749533,0.002302125
CG33129,FBgn0053129,0.600053463,0.002305718
CG18302,FBgn0032266,0.000179817,0.002309986
chp,FBgn0267435,0.293245148,0.002316192
dlg1,FBgn0001624,0.806687276,0.002324993
CG4497,FBgn0031895,0.754296707,0.002326359
RtcB,FBgn0032781,0.622745187,0.002368913
CG4511,FBgn0037843,0.867855716,0.00237605
CG16734,FBgn0037667,0.312623014,0.002406376
CG6749,FBgn0036040,0.769922635,0.002420345
CG44422,FBgn0265595,0.84323991,0.002432605
snz,FBgn0029976,0.767625822,0.002438897
Atg1,FBgn0260945,0.468135038,0.002450985
VhaPPA1-1,FBgn0028662,0.815183898,0.002484389
CG17778,FBgn0023534,0.078218994,0.002492981
GIIIspla2,FBgn0030013,0.601521568,0.002493729
sut1,FBgn0028563,0.798146957,0.00249917
ETHR,FBgn0038874,0.66767298,0.002501752
ckd,FBgn0035427,0.361467256,0.002529918
CG7824,FBgn0039711,0.718746288,0.002552768
Spec2,FBgn0044823,0.242994071,0.002563014
Top3beta,FBgn0026015,0.502809614,0.002592296
Tsp29Fb,FBgn0032075,0.610279858,0.002603329
CG7889,FBgn0031003,0.386740049,0.002605579
bchs,FBgn0043362,0.653142667,0.002620763
mRpS25,FBgn0030572,0.081573628,0.002620807
CG43163,FBgn0262719,0.242108322,0.002622527
CG32523,FBgn0052523,0.412551514,0.002638013
foi,FBgn0024236,0.627569383,0.002645719
Dcp-1,FBgn0010501,0.192198948,0.002646564
CG5645,FBgn0036254,0.448190158,0.00266187
CG2837,FBgn0031646,0.264974478,0.002673388
CG7378,FBgn0030976,0.779501769,0.002673888
Ykt6,FBgn0260858,0.2592555,0.00267838
RpL3,FBgn0020910,0.860992681,0.002707825
CG8468,FBgn0033913,0.030073678,0.002720863
CG10257,FBgn0033985,0.555132256,0.002734099
Rab18,FBgn0015794,0.673499928,0.002758383
Dad,FBgn0020493,0.975236926,0.002791853
CG10126,FBgn0038088,0.038443935,0.002813262
ZnT49B,FBgn0033762,0.58225993,0.002832341
CG31301,FBgn0051301,0.075128784,0.002834136
rk,FBgn0003255,0.584420834,0.002836023
kek6,FBgn0039862,0.476008247,0.002843394
SCAP,FBgn0033052,0.999369218,0.002870622
IntS14,FBgn0031314,0.904198077,0.002891184
CG2889,FBgn0030206,0.992945778,0.002909099
l(1)10Bb,FBgn0001491,0.502690928,0.002915445
Vha100-2,FBgn0028670,0.841716067,0.002934607
CG2224,FBgn0039773,0.153067962,0.002980415
Tbc1d15-17,FBgn0031233,0.393211926,0.003019646
Tim17b1,FBgn0037310,0.335623342,0.003028332
CG16863,FBgn0028931,0.068306303,0.003045776
CG31224,FBgn0051224,0.950763505,0.003049054
Hlc,FBgn0001565,0.15724461,0.003069937
mop,FBgn0036448,0.970067092,0.00307947
CG30423,FBgn0050423,0.454017377,0.003091261
Tfb4,FBgn0031309,0.484583017,0.003106304
CG5045,FBgn0032229,0.000168541,0.003122793
CG6574,FBgn0037846,0.600761714,0.003126517
Mad,FBgn0011648,0.635663381,0.003155176
Tsp,FBgn0031850,0.730549966,0.003171492
corn,FBgn0259173,0.374861184,0.00319711
CG7523,FBgn0038533,0.093461183,0.003227349
BtbVII,FBgn0263108,0.960134738,0.003256523
CG6153,FBgn0032445,0.545619831,0.0032957
Pld,FBgn0033075,0.588993022,0.003305755
Rbp1,FBgn0260944,0.413350875,0.0033321
CG33977,FBgn0053977,0.01903478,0.00334036
CG14274,FBgn0032023,0.064015411,0.003380899
Shark,FBgn0015295,0.046327097,0.003399039
armi,FBgn0041164,0.767900425,0.003424699
CG10550,FBgn0039321,0.00791525,0.00348744
hppy,FBgn0263395,0.202121168,0.003489238
CR44024,FBgn0264794,0.846246457,0.003518477
ppk3,FBgn0050181,0.8011269,0.003589459
RhoGAP15B,FBgn0030808,0.237697186,0.003594764
Lkb1,FBgn0038167,0.025117,0.003595909
bab2,FBgn0025525,0.781253363,0.003613003
Cpsf160,FBgn0024698,0.999374155,0.003684175
Cdc37,FBgn0011573,0.227468474,0.003684406
tos,FBgn0015553,0.680965445,0.00370666
Prosalpha2,FBgn0086134,0.177216657,0.003709815
emp,FBgn0010435,0.220273779,0.003710996
ena,FBgn0000578,0.836173349,0.003719037
Pi3K92E,FBgn0015279,0.075876167,0.003741347
l(2)37Cd,FBgn0086445,0.559250995,0.003767531
hfw,FBgn0001189,0.002561499,0.003791225
wtrw,FBgn0260005,0.097535539,0.003817591
CG32196,FBgn0052196,0.790181115,0.003822842
Cyp6v1,FBgn0031126,0.354550973,0.003826701
Top3alpha,FBgn0040268,0.190578948,0.003833911
Uba5,FBgn0030305,0.658121195,0.003839716
CG32590,FBgn0052590,0.120809126,0.003861186
pygo,FBgn0043900,0.028816695,0.003875821
CG7742,FBgn0031690,0.001812906,0.003891348
ArgRS-m,FBgn0037526,0.859858305,0.003900975
CG15247,FBgn0030156,0.389229896,0.003910769
CG4707,FBgn0035036,0.123841192,0.003982881
CG9967,FBgn0031413,0.526721126,0.004029223
babo,FBgn0011300,0.747011607,0.004097766
CanA-14F,FBgn0267912,0.993352777,0.004123304
ball,FBgn0027889,0.309730301,0.004126499
DPCoAC,FBgn0067783,0.915502663,0.004131665
Spn31A,FBgn0032178,0.047746073,0.004138966
Fili,FBgn0085397,0.105153457,0.004170658
Fer1HCH,FBgn0015222,0.238715809,0.004187837
Or59c,FBgn0034866,0.007188103,0.004235023
CG11892,FBgn0039313,0.574346176,0.004245293
CG1632,FBgn0030027,0.931173768,0.004264096
Glo1,FBgn0283450,0.445597593,0.004285712
PlexA,FBgn0025741,0.715801426,0.004311324
CG1812,FBgn0031119,0.115876753,0.004369744
CG6488,FBgn0032361,0.422066818,0.00437334
Ptx1,FBgn0020912,0.048044866,0.004439064
CG14613,FBgn0031188,0.622463113,0.004451201
nSyb,FBgn0013342,0.63290821,0.004458313
CG14408,FBgn0030581,0.710168782,0.0044764
lbm,FBgn0016032,0.481365607,0.004498961
PAPLA1,FBgn0031990,0.975705615,0.00453152
Oga,FBgn0038870,0.790834466,0.004565284
CG8814,FBgn0031478,0.067574564,0.004585545
Aos1,FBgn0029512,0.686173106,0.004622141
l(1)G0193,FBgn0027280,0.016411365,0.004625421
RagA-B,FBgn0037647,0.770828492,0.004777815
CG8298,FBgn0033673,0.158572828,0.004780109
CG9135,FBgn0031769,0.212155488,0.004817453
hwt,FBgn0264542,0.658892143,0.004828211
Rdh,FBgn0064227,0.070815676,0.004881056
yellow-f2,FBgn0038105,0.615888192,0.004894186
CR43417,FBgn0263336,0.03981983,0.004898308
Rcd2,FBgn0037012,0.875525621,0.004906923
CG8929,FBgn0034504,0.642825152,0.004907477
CG5854,FBgn0039130,0.076820796,0.004971634
T48,FBgn0004359,0.179275217,0.005035399
Cht11,FBgn0029913,0.018923195,0.005114174
CG31869,FBgn0051869,0.996467576,0.005160175
ND-B22,FBgn0032511,0.438444891,0.005161805
CG6527,FBgn0036085,0.062298862,0.005209391
CG14989,FBgn0035495,0.607643474,0.005228113
Fas1,FBgn0285925,0.576033728,0.005295623
l(2)35Bd,FBgn0001974,0.4754848,0.005306993
nAChRalpha6,FBgn0032151,0.066246984,0.00534738
crim,FBgn0036198,0.662831945,0.005383688
Aprt,FBgn0000109,0.28607888,0.005385406
meru,FBgn0052150,0.190419101,0.005404798
CG44006,FBgn0264748,0.36696517,0.005437989
grass,FBgn0039494,0.42694721,0.005448031
svp,FBgn0003651,0.676303825,0.005456911
Cpr97Eb,FBgn0039481,0.17338727,0.005461111
Pka-C3,FBgn0000489,0.026467544,0.005468163
CG10333,FBgn0032690,0.9369299,0.005475176
TRAM,FBgn0040340,0.671408117,0.005506603
l(2)41Ab,FBgn0262123,0.461458511,0.005584782
Afti,FBgn0038223,0.006312185,0.005591357
xmas-1,FBgn0016080,0.301285035,0.00559734
kel,FBgn0001301,0.697968732,0.00564179
CG34402,FBgn0085431,0.222565723,0.005661909
CG10343,FBgn0032703,0.371040275,0.005737241
CR12842,FBgn0033131,0.8466234,0.005750107
CG44838,FBgn0266101,0.478616687,0.005752521
AstC-R1,FBgn0036790,0.274590491,0.005759938
vito,FBgn0052418,0.006959454,0.005788415
chrb,FBgn0036165,0.211839894,0.005801859
CR40190,FBgn0085732,0.221636633,0.005863788
l(1)G0196,FBgn0027279,0.97089085,0.005882407
CG31674,FBgn0051674,0.646014225,0.005919779
rin,FBgn0015778,0.513939202,0.0059269
tam,FBgn0004406,0.013104846,0.005932028
Glut4EF,FBgn0267336,0.000652956,0.005986395
nbs,FBgn0261530,0.196138866,0.006052393
CG4945,FBgn0034137,0.554374124,0.00606946
scny,FBgn0260936,0.254690134,0.006090802
X11Lbeta,FBgn0052677,0.493691636,0.006126234
run,FBgn0003300,0.321636068,0.00618388
Mgat2,FBgn0039738,0.095815215,0.006218409
CYLD,FBgn0032210,0.048033027,0.006228009
caps,FBgn0023095,0.55265869,0.006255237
CG42346,FBgn0259677,0.438538616,0.006266543
ninaE,FBgn0002940,0.51595194,0.006305276
Brms1,FBgn0030434,0.155284732,0.006373302
Tgi,FBgn0036373,0.816027921,0.00641701
CLS,FBgn0039360,0.30357823,0.006453083
loh,FBgn0032252,0.000396459,0.006463984
CG14182,FBgn0036922,0.908084176,0.006491704
CG15439,FBgn0031606,0.000101825,0.006515677
SP1173,FBgn0035710,0.756390887,0.006582424
CNMa,FBgn0035282,0.992094186,0.006596089
CG32521,FBgn0052521,0.358132803,0.006627039
Epac,FBgn0085421,0.970896396,0.006632787
CG13285,FBgn0035611,0.686972715,0.006634636
Nha1,FBgn0031865,0.235011767,0.00667164
z,FBgn0004050,0.022620936,0.006717299
IntS4,FBgn0026679,0.022620936,0.006717299
Snap29,FBgn0034913,0.058654164,0.006723813
sinu,FBgn0010894,0.898684876,0.006765271
CG14154,FBgn0036093,0.040884999,0.00679521
l(2)37Cb,FBgn0086444,0.919833679,0.006812347
Rho1,FBgn0014020,0.999999994,0.006840958
FK506-bp1,FBgn0013269,0.084952826,0.006854275
Tango10,FBgn0030330,0.12118003,0.006855534
Cyp28c1,FBgn0030339,0.4974108,0.006859201
Pka-R1,FBgn0259243,0.351449742,0.006897373
Iyd,FBgn0036125,0.183644061,0.006926612
CG2712,FBgn0024975,0.201722199,0.006979801
CG33946,FBgn0047000,0.045650593,0.006985295
CG14762,FBgn0033250,0.558305754,0.007002307
bun,FBgn0259176,0.228919381,0.007081772
dpr17,FBgn0051361,0.551374451,0.007095298
PpD3,FBgn0005777,0.400292391,0.00711052
CG42360,FBgn0259742,0.661618684,0.007117814
MED26,FBgn0039923,0.417750274,0.00713207
CG9286,FBgn0038183,0.039646776,0.007193995
Fie,FBgn0026592,0.999893734,0.007201152
CG5026,FBgn0035945,0.510564284,0.007223428
CG2921,FBgn0034689,0.080342002,0.007235633
CG42788,FBgn0261859,0.011801603,0.007264473
CG12173,FBgn0037305,0.004911239,0.007298786
Sec61beta,FBgn0010638,0.270727256,0.007360731
CG4452,FBgn0035981,0.586423786,0.007365075
Vinc,FBgn0004397,0.956464095,0.007475441
CG11241,FBgn0037186,0.008411111,0.007487219
Glut1,FBgn0264574,0.936371222,0.007569377
Vps45,FBgn0261049,0.155036615,0.007631976
CG6765,FBgn0035903,0.427401423,0.007797571
CG5220,FBgn0038471,0.043111615,0.007869039
CG9272,FBgn0032907,0.082288298,0.007886075
tyf,FBgn0026083,0.999999968,0.00800915
CG5522,FBgn0034158,0.832139911,0.008023989
Evi5,FBgn0262740,0.297047569,0.008046984
ZnT77C,FBgn0037000,0.258207439,0.008082848
Nedd8,FBgn0032725,0.051830825,0.0080864
CG12253,FBgn0026148,0.70635281,0.008109139
SREBP,FBgn0261283,0.867227409,0.008113091
Sdc,FBgn0010415,0.986053847,0.008114715
twr,FBgn0262801,0.300443626,0.008152641
ctp,FBgn0011760,0.993635353,0.00820136
CR43724,FBgn0263970,0.699762227,0.008254208
ari-1,FBgn0017418,0.023076521,0.008264268
CG1646,FBgn0039600,0.82501726,0.008267206
CG7483,FBgn0037573,0.534948839,0.008287604
CG42324,FBgn0259224,0.240167142,0.008294316
Cyp9b1,FBgn0015038,0.316085452,0.008339657
CG5160,FBgn0031906,0.578451484,0.008353278
CG14186,FBgn0036935,0.964898761,0.008355765
Reep1,FBgn0261564,0.921220988,0.008381918
CG4239,FBgn0030745,0.235943443,0.008398832
CR42746,FBgn0261709,0.812415851,0.008455232
comm2,FBgn0041160,0.881213581,0.008456488
ru,FBgn0003295,0.146225132,0.008466494
CG9416,FBgn0034438,0.301361101,0.008480923
kra,FBgn0250753,0.799315514,0.008540996
CG10311,FBgn0038420,0.020145799,0.008579115
CG8320,FBgn0034059,0.335336926,0.008608601
CG42553,FBgn0260755,0.29215045,0.008609018
CG15362,FBgn0031378,0.039445131,0.008654099
GlcAT-P,FBgn0036144,0.028392155,0.008671832
Den1,FBgn0033716,0.017101105,0.00868206
CG11474,FBgn0034688,0.920362606,0.00873052
Nup358,FBgn0039302,0.017373175,0.008733172
Aef1,FBgn0005694,0.068989488,0.008785598
shf,FBgn0003390,0.910064683,0.008788244
casp,FBgn0034068,0.459782211,0.008872708
unc-13-4A,FBgn0035756,0.346465679,0.008922512
uex,FBgn0262124,0.927305158,0.008924575
pad,FBgn0038418,0.804561758,0.00898795
Mp20,FBgn0002789,0.372053213,0.009113215
lush,FBgn0020277,0.067133211,0.009150862
CG9636,FBgn0037556,0.393519614,0.009162061
mRpL33,FBgn0040907,0.179410008,0.009230926
CG32181,FBgn0052181,0.048445255,0.009239169
Msh6,FBgn0036486,0.02040243,0.009297394
Fer2LCH,FBgn0015221,0.788256441,0.009358428
peb,FBgn0003053,0.93388761,0.009386304
grn,FBgn0001138,0.170249725,0.009487959
beat-IIb,FBgn0038494,0.020928498,0.009525629
Hat1,FBgn0037376,0.320028895,0.009541974
GC,FBgn0035245,0.368924125,0.009556821
Phf5a,FBgn0031822,0.200881059,0.009580088
mats,FBgn0038965,0.824466252,0.009629458
CR43972,FBgn0264703,0.157378145,0.009632208
OstDelta,FBgn0034277,0.894527989,0.009740308
MFS18,FBgn0025684,0.004259817,0.009744574
